"dt";"tme";"host";"uri";"uuid";"response_status"
2024-02-05;2024-02-04 15:51:04;auto.drom.ru;/all/?fueltype=1&minyear=2010&multiselect[]=89_3480_0_0&privod=3&subscription=7c83059257&subs_view_time=1692634603;"979B392A32ED28E8FC818A776B8EFAB20";301
2024-02-05;2024-02-05 03:10:34;auto.drom.ru;/region25/all/?multiselect[]=9_42_10_0&multiselect[]=9_42_10_1;"393FCE1B8BE41E09F5B1A85D2470A9896";200
2024-02-05;2024-02-05 00:06:23;auto.drom.ru;/region38/all/?maxprice=100000&minyear=2007&multiselect[]=99_0_0_0&ph=1&privod=1&unsold=1&subscription=3761178a94&subs_view_time=1693434651&reset_params=1;"9C7B92DD78BDADA2120CDD79CE4937819";301
2024-02-05;2024-02-05 00:06:23;auto.drom.ru;/region38/all/?maxprice=100000&minyear=2007&multiselect[]=99_0_0_0&ph=1&privod=1&unsold=1&subscription=3761178a94&subs_view_time=1693434651;"9C7B92DD78BDADA2120CDD79CE4937819";301
2024-02-04;2024-02-04 11:57:20;auto.drom.ru;/all/?multiselect[]=6_342_0_0&pts=1&subscription=e652690502&subs_view_time=1693384380&reset_params=1;"0562176E0D823B5F8D4440849ABC4E1A4";301
2024-02-04;2024-02-04 11:57:20;auto.drom.ru;/all/?multiselect[]=6_342_0_0&pts=1&subscription=e652690502&subs_view_time=1693384380;"0562176E0D823B5F8D4440849ABC4E1A4";301
2024-02-04;2024-02-04 12:00:50;auto.drom.ru;/region28/all/?multiselect[]=9_316_0_0&subscription=1754b5cf05&subs_view_time=1693384503&reset_params=1;"0562176E0D823B5F8D4440849ABC4E1A4";301
2024-02-04;2024-02-04 12:00:50;auto.drom.ru;/region28/all/?multiselect[]=9_316_0_0&subscription=1754b5cf05&subs_view_time=1693384503;"0562176E0D823B5F8D4440849ABC4E1A4";301
2024-02-04;2024-02-04 12:02:04;auto.drom.ru;/region28/all/?multiselect[]=100_0_0_0&subscription=f03eb4afb1&subs_view_time=1693393851;"0562176E0D823B5F8D4440849ABC4E1A4";301
2024-02-04;2024-02-04 11:59:57;auto.drom.ru;/region28/all/?minyear=2003&multiselect[]=4_194_0_0&subscription=282ba30f86&subs_view_time=1693384432&reset_params=1;"0562176E0D823B5F8D4440849ABC4E1A4";301
2024-02-04;2024-02-04 11:59:58;auto.drom.ru;/region28/all/?minyear=2003&multiselect[]=4_194_0_0&subscription=282ba30f86&subs_view_time=1693384432;"0562176E0D823B5F8D4440849ABC4E1A4";301
2024-02-04;2024-02-04 12:02:03;auto.drom.ru;/region28/all/?multiselect[]=100_0_0_0&subscription=f03eb4afb1&subs_view_time=1693393851&reset_params=1;"0562176E0D823B5F8D4440849ABC4E1A4";301
2024-02-04;2024-02-04 10:23:56;auto.drom.ru;/all/?multiselect[]=6_339_1_all&transmission[]=2&transmission[]=5&subscription=6a86c60896&subs_view_time=1693744988;B8EE441E9EA4A8D1389A9AE1C3CC1C0E7;301
2024-02-04;2024-02-04 10:23:56;auto.drom.ru;/all/?multiselect[]=6_339_1_all&transmission[]=2&transmission[]=5&subscription=6a86c60896&subs_view_time=1693744988&reset_params=1;B8EE441E9EA4A8D1389A9AE1C3CC1C0E7;301
2024-02-04;2024-02-04 10:39:09;auto.drom.ru;/all/?multiselect[]=9_26_9_all&transmission[]=2&transmission[]=5&subscription=a88a0563a6&subs_view_time=1693745187&reset_params=1;B8EE441E9EA4A8D1389A9AE1C3CC1C0E7;301
2024-02-04;2024-02-04 10:39:09;auto.drom.ru;/all/?multiselect[]=9_26_9_all&transmission[]=2&transmission[]=5&subscription=a88a0563a6&subs_view_time=1693745187;B8EE441E9EA4A8D1389A9AE1C3CC1C0E7;301
2024-02-04;2024-02-04 10:41:20;auto.drom.ru;/all/?multiselect[]=31_2813_2_1&transmission[]=2&transmission[]=5&subscription=08ffb4f890&subs_view_time=1693636496&reset_params=1;B8EE441E9EA4A8D1389A9AE1C3CC1C0E7;301
2024-02-04;2024-02-04 10:41:20;auto.drom.ru;/all/?multiselect[]=31_2813_2_1&transmission[]=2&transmission[]=5&subscription=08ffb4f890&subs_view_time=1693636496;B8EE441E9EA4A8D1389A9AE1C3CC1C0E7;301
2024-02-04;2024-02-04 10:43:24;auto.drom.ru;/all/?multiselect[]=89_3480_6_all&transmission[]=-1&transmission[]=2&transmission[]=3&transmission[]=4&transmission[]=5&subscription=92e678ddce&subs_view_time=1693501684&reset_params=1;B8EE441E9EA4A8D1389A9AE1C3CC1C0E7;301
2024-02-04;2024-02-04 10:43:24;auto.drom.ru;/all/?multiselect[]=89_3480_6_all&transmission[]=-1&transmission[]=2&transmission[]=3&transmission[]=4&transmission[]=5&subscription=92e678ddce&subs_view_time=1693501684;B8EE441E9EA4A8D1389A9AE1C3CC1C0E7;301
2024-02-04;2024-02-04 11:35:33;auto.drom.ru;/all/?multiselect[]=6_339_1_all&transmission[]=2&transmission[]=5&subscription=6a86c60896&subs_view_time=1693823036&reset_params=1;B8EE441E9EA4A8D1389A9AE1C3CC1C0E7;301
2024-02-04;2024-02-04 11:35:33;auto.drom.ru;/all/?multiselect[]=6_339_1_all&transmission[]=2&transmission[]=5&subscription=6a86c60896&subs_view_time=1693823036;B8EE441E9EA4A8D1389A9AE1C3CC1C0E7;301
2024-02-04;2024-02-04 12:34:56;auto.drom.ru;/all/?multiselect[]=6_339_1_all&transmission[]=2&transmission[]=5&subscription=6a86c60896&subs_view_time=1693827333;B8EE441E9EA4A8D1389A9AE1C3CC1C0E7;301
2024-02-04;2024-02-04 12:34:56;auto.drom.ru;/all/?multiselect[]=6_339_1_all&transmission[]=2&transmission[]=5&subscription=6a86c60896&subs_view_time=1693827333&reset_params=1;B8EE441E9EA4A8D1389A9AE1C3CC1C0E7;301
2024-02-04;2024-02-03 22:28:35;auto.drom.ru;/region25/all/?fueltype=1&minprice=350000&multiselect[]=9_10_0_0&multiselect[]=9_7_0_0&multiselect[]=9_9_0_0&mv=2.5&subscription=a3b4286158&subs_view_time=1693741921;EB9C0B3C329D9BF98562DF0E6C6B3B320;200
2024-02-04;2024-02-03 22:28:35;auto.drom.ru;/region25/all/?fueltype=1&minprice=350000&multiselect[]=9_10_0_0&multiselect[]=9_7_0_0&multiselect[]=9_9_0_0&mv=2.5&subscription=a3b4286158&subs_view_time=1693741921&reset_params=1;EB9C0B3C329D9BF98562DF0E6C6B3B320;301
2024-02-04;2024-02-03 22:30:44;auto.drom.ru;/region25/all/?fueltype=1&minprice=350000&multiselect[]=9_10_0_0&multiselect[]=9_7_0_0&multiselect[]=9_9_0_0&xv=2.0&subscription=0c43b4804b&subs_view_time=1693663075;EB9C0B3C329D9BF98562DF0E6C6B3B320;200
2024-02-04;2024-02-03 22:30:06;auto.drom.ru;/region25/all/?fueltype=1&minprice=350000&multiselect[]=9_10_0_0&multiselect[]=9_7_0_0&multiselect[]=9_9_0_0&xv=2.0&subscription=0c43b4804b&subs_view_time=1693663075&reset_params=1;EB9C0B3C329D9BF98562DF0E6C6B3B320;301
2024-02-04;2024-02-03 22:30:06;auto.drom.ru;/region25/all/?fueltype=1&minprice=350000&multiselect[]=9_10_0_0&multiselect[]=9_7_0_0&multiselect[]=9_9_0_0&xv=2.0&subscription=0c43b4804b&subs_view_time=1693663075;EB9C0B3C329D9BF98562DF0E6C6B3B320;200
2024-02-05;2024-02-05 02:37:19;auto.drom.ru;/all/?multiselect[]=33_3979_0_0&multiselect[]=33_4716_0_0&maxprice=4000000&minyear=2018&w=2&maxprobeg=50000;"18E0190B9BC5990693CCAEA194424D0E0";200
2024-02-05;2024-02-05 02:44:07;auto.drom.ru;/all/?multiselect[]=33_3979_0_0&multiselect[]=33_4716_0_0&maxprice=5000000&minyear=2018&w=2&maxprobeg=50000;"18E0190B9BC5990693CCAEA194424D0E0";200
2024-02-05;2024-02-05 07:58:37;auto.drom.ru;/all/?multiselect[]=33_2838_0_0&multiselect[]=67_3242_0_0&maxprice=5000000&minyear=2017&w=2&unsold=1&maxprobeg=50000;"18E0190B9BC5990693CCAEA194424D0E0";200
2024-02-05;2024-02-05 07:57:46;auto.drom.ru;/all/?multiselect[]=33_2838_0_0&multiselect[]=67_3242_0_0&maxprice=5000000&minyear=2017&unsold=1&maxprobeg=50000;"18E0190B9BC5990693CCAEA194424D0E0";200
2024-02-05;2024-02-05 07:39:53;auto.drom.ru;/all/?maxprice=1500000&multiselect[]=9_2466_2_all&ph=1&unsold=1&subscription=b6888f2a44&subs_view_time=1693664259;"0A88C3C73CE6A5D1B7B886955F400FDE5";301
2024-02-05;2024-02-05 07:39:53;auto.drom.ru;/all/?maxprice=1500000&multiselect[]=9_2466_2_all&ph=1&unsold=1&subscription=b6888f2a44&subs_view_time=1693664259&reset_params=1;"0A88C3C73CE6A5D1B7B886955F400FDE5";301
2024-02-05;2024-02-05 11:28:58;auto.drom.ru;/all/?maxprice=850000&multiselect[]=9_36_3_0&multiselect[]=9_36_3_1&multiselect[]=9_36_3_2&ph=1&unsold=1&subscription=08cbdb5743&subs_view_time=1693826399;"0A88C3C73CE6A5D1B7B886955F400FDE5";200
2024-02-05;2024-02-05 11:28:57;auto.drom.ru;/all/?maxprice=850000&multiselect[]=9_36_3_0&multiselect[]=9_36_3_1&multiselect[]=9_36_3_2&ph=1&unsold=1&subscription=08cbdb5743&subs_view_time=1693826399&reset_params=1;"0A88C3C73CE6A5D1B7B886955F400FDE5";301
2024-02-04;2024-02-04 07:14:36;auto.drom.ru;/region25/all/?damaged=2&maxprice=850000&maxyear=2005&minyear=2001&multiselect[]=8_186_0_0&mv=2.0&pts=2&xv=2.0&subscription=ac7303c883&subs_view_time=1693485857;"2B046AF5BDD0D90D565533F17273EB535";301
